genotype,bout_length,fish
het,4.02,22
het,1.98,22
het,6,22
het,31.02,22
het,4.98,22
het,18,22
het,4.02,22
het,3,22
het,12,22
het,18.96,22
mut,3,23
mut,4.98,23
mut,9,23
mut,7.02,23
mut,3.96,23
mut,1.98,23
mut,1.02,23
mut,6.96,23
mut,4.98,23
mut,10.98,23
mut,12,23
mut,1.02,23
mut,1.02,23
mut,1.02,23
mut,4.02,23
mut,18,23
mut,2.04,23
mut,1.02,23
mut,6.96,23
mut,7.98,23
mut,1.98,23
mut,12,23
mut,0.96,23
mut,1.02,23
mut,3,23
mut,1.02,23
mut,2.04,23
mut,1.02,23
mut,8.04,23
mut,4.98,23
mut,4.98,23
mut,3.96,23
mut,3,23
mut,3,23
mut,2.04,23
mut,1.02,23
mut,0.96,23
mut,9.96,23
mut,4.02,23
mut,3,23
mut,1.98,23
mut,1.02,23
mut,4.98,23
mut,2.04,23
mut,9,23
mut,7.02,23
mut,3,23
mut,4.98,23
mut,3,23
mut,1.02,23
mut,9,23
mut,6,23
mut,21.96,23
mut,0.96,23
mut,3,23
mut,0.96,23
mut,1.02,23
mut,10.02,23
mut,1.02,23
mut,3,23
mut,3,23
mut,18,23
mut,3,23
mut,4.98,23
mut,2.04,23
mut,18,23
mut,10.98,23
mut,9,23
mut,3,23
mut,13.98,23
mut,7.02,23
mut,13.02,23
mut,10.02,23
mut,6,23
mut,6,23
mut,4.98,23
mut,6,23
mut,12,23
mut,0.96,23
mut,6,23
mut,1.02,23
mut,5.04,23
wt,13.98,24
wt,7.02,24
wt,3,24
wt,32.04,24
wt,3,24
wt,3.96,24
wt,4.02,24
wt,5.04,24
wt,10.98,24
wt,4.02,24
wt,10.98,24
wt,3,24
wt,2.04,24
wt,3,24
wt,1.98,24
wt,1.02,24
wt,3,24
wt,0.96,24
wt,6,24
wt,3.96,24
wt,1.98,24
wt,0.96,24
wt,1.98,24
wt,4.98,24
wt,3,24
wt,0.96,24
wt,9.96,24
wt,1.02,24
wt,0.96,24
wt,3,24
wt,2.04,24
wt,2.04,24
wt,10.02,24
wt,1.02,24
wt,1.02,24
wt,2.04,24
wt,1.02,24
wt,7.98,24
wt,3.96,24
wt,4.02,24
wt,1.02,24
wt,6,24
wt,24,24
wt,1.98,24
wt,0.96,24
wt,1.98,24
wt,1.98,24
wt,3,24
wt,2.04,24
wt,6,24
wt,3,24
wt,2.04,24
wt,0.96,24
wt,3,24
wt,6,24
wt,7.02,24
wt,1.98,24
wt,3,24
wt,1.02,24
wt,5.04,24
wt,10.02,24
wt,1.98,24
wt,1.98,24
wt,1.02,24
wt,3,24
wt,6,24
wt,4.98,24
wt,3.96,24
wt,1.98,24
wt,7.98,24
wt,2.04,24
wt,3,24
wt,2.04,24
wt,3,24
wt,7.98,24
wt,1.02,24
wt,3.96,24
wt,3.96,24
wt,1.02,24
wt,3.96,24
wt,1.02,24
wt,3.96,24
wt,7.98,24
wt,0.96,24
mut,1.02,27
mut,5.04,27
mut,3.96,27
mut,12,27
mut,12,27
mut,1.02,27
mut,0.96,27
mut,1.02,27
mut,7.02,27
mut,1.98,27
mut,1.02,27
mut,1.02,27
mut,9.96,27
mut,3,27
mut,1.98,27
mut,0.96,27
mut,3,27
mut,11.04,27
mut,7.98,27
mut,7.98,27
mut,1.98,27
mut,4.98,27
mut,1.98,27
mut,10.98,27
mut,6,27
mut,9,27
mut,19.02,27
mut,13.98,27
mut,4.98,27
mut,3,27
mut,0.96,27
mut,3,27
mut,6,27
mut,7.98,27
mut,9,27
mut,1.02,27
mut,0.96,27
mut,9.96,27
mut,1.98,27
mut,22.98,27
mut,19.98,27
mut,9.96,27
mut,6.96,27
mut,6.96,27
mut,8.04,27
mut,9,27
mut,4.98,27
mut,9,27
mut,7.02,27
mut,7.02,27
mut,9.96,27
mut,36,27
mut,4.02,27
mut,1.02,27
mut,7.98,27
mut,4.02,27
mut,12.96,27
mut,13.98,27
mut,3,27
mut,1.02,27
mut,4.02,27
mut,3,27
wt,1.98,28
wt,6,28
wt,5.04,28
wt,1.98,28
wt,3,28
wt,4.02,28
wt,2.04,28
wt,1.02,28
wt,1.02,28
wt,3,28
wt,1.02,28
wt,1.02,28
wt,0.96,28
wt,1.02,28
wt,0.96,28
wt,3,28
wt,1.02,28
wt,1.02,28
wt,0.96,28
wt,13.98,28
wt,1.98,28
wt,1.02,28
wt,1.98,28
wt,0.96,28
wt,7.02,28
wt,1.02,28
wt,1.02,28
wt,1.02,28
wt,2.04,28
wt,9,28
wt,9,28
wt,3.96,28
wt,1.02,28
wt,1.02,28
wt,4.98,28
wt,9,28
wt,1.02,28
wt,1.02,28
wt,1.98,28
wt,6,28
wt,3,28
wt,1.02,28
wt,1.02,28
wt,0.96,28
wt,1.02,28
wt,1.02,28
wt,3.96,28
wt,1.02,28
wt,9,28
wt,10.02,28
wt,3,28
wt,0.96,28
wt,4.98,28
wt,13.02,28
wt,7.98,28
wt,2.04,28
wt,1.02,28
wt,1.02,28
wt,1.02,28
wt,0.96,28
wt,3,28
wt,1.02,28
wt,1.98,28
wt,19.98,28
wt,6,28
wt,1.02,28
wt,5.04,28
wt,1.02,28
wt,6,28
wt,30,28
wt,3,28
wt,1.02,28
wt,2.04,28
wt,2.04,28
wt,3,28
wt,0.96,28
wt,9,28
wt,9,28
wt,1.02,28
wt,1.02,28
wt,1.02,29
wt,9.96,29
wt,1.02,29
wt,3,29
wt,1.02,29
wt,3,29
wt,3.96,29
wt,4.98,29
wt,1.02,29
wt,3,29
wt,4.98,29
wt,1.02,29
wt,3,29
wt,1.98,29
wt,1.98,29
wt,1.02,29
wt,1.02,29
wt,4.98,29
wt,1.02,29
wt,2.04,29
wt,1.02,29
wt,3,29
wt,0.96,29
wt,1.02,29
wt,1.98,29
wt,1.98,29
wt,7.02,29
wt,2.04,29
wt,2.04,29
wt,1.02,29
wt,1.98,29
wt,6,29
wt,0.96,29
wt,0.96,29
wt,3,29
wt,1.02,29
wt,1.02,29
wt,2.04,29
wt,1.98,29
wt,12,29
wt,1.98,29
wt,1.02,29
wt,4.02,29
wt,2.04,29
wt,2.04,29
wt,1.98,29
wt,1.02,29
wt,4.02,29
wt,4.98,29
wt,1.02,29
wt,0.96,29
wt,1.98,29
wt,0.96,29
wt,1.02,29
wt,0.96,29
wt,0.96,29
wt,1.02,29
wt,1.02,29
wt,3,29
wt,4.02,29
wt,1.98,29
wt,12.96,29
wt,3.96,29
wt,1.98,29
wt,1.98,29
wt,1.98,29
wt,1.02,29
wt,3.96,29
wt,1.02,29
wt,7.98,29
wt,1.98,29
wt,1.02,29
wt,1.02,29
wt,1.98,29
wt,1.02,29
wt,1.02,29
wt,1.02,29
wt,4.98,29
wt,10.98,29
wt,1.02,29
wt,1.02,29
wt,1.02,29
wt,4.02,29
wt,3,29
wt,1.98,29
wt,6,29
wt,1.02,29
wt,2.04,29
wt,1.98,29
wt,5.04,29
wt,3,29
wt,1.02,29
wt,1.98,29
wt,3,29
wt,3,29
wt,4.02,29
wt,4.02,29
wt,2.04,29
wt,0.96,29
wt,1.02,29
wt,4.02,29
wt,3,30
wt,27,30
wt,25.98,30
wt,11.04,30
wt,2.04,30
wt,24,30
wt,9.96,30
wt,0.96,30
wt,0.96,30
wt,5.04,30
wt,6,30
wt,9,30
wt,28.98,30
wt,3,30
wt,11.04,30
wt,4.02,30
wt,3,30
wt,10.98,30
wt,0.96,30
wt,22.02,30
wt,4.02,30
wt,6.96,30
wt,1.02,30
wt,4.02,30
wt,6.96,30
wt,4.98,30
wt,12,30
wt,1.98,30
wt,4.02,30
wt,1.02,30
wt,9.96,30
wt,5.04,30
wt,10.98,30
wt,10.02,30
wt,3,30
wt,1.02,30
wt,3,30
wt,1.98,30
wt,12.96,30
wt,3,30
wt,1.98,30
wt,1.02,30
wt,9,30
wt,0.96,30
wt,1.02,30
wt,4.02,30
wt,3,30
wt,6,30
wt,7.02,30
wt,1.02,30
wt,6,30
wt,1.02,30
wt,4.02,30
wt,1.98,30
wt,1.02,30
wt,9,30
wt,5.04,30
wt,4.02,30
wt,0.96,30
wt,4.98,30
het,4.98,33
het,1.02,33
het,1.02,33
het,0.96,33
het,1.02,33
het,1.02,33
